,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Benzinga.com'}",Wayne Duggan,Here's What Warren Buffett Thinks About Tesla And Elon Musk - Benzinga,"<ol><li>Here's What Warren Buffett Thinks About Tesla And Elon Musk  Benzinga
</li><li>Was Elon’s Tesla Twitter meltdown illegal? An investigation  The Verge
</li><li>Tesla CEO Elon Musk's coronavirus rant highlights just one of many hurdles automakers face…",https://www.benzinga.com/top-stories/20/05/15936592/heres-what-warren-buffett-thinks-about-tesla-and-elon-musk,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/1599px-falcon_heavy_first_flight_press_conference_01_0.jpg,2020-05-02T19:55:20Z,"Berkshire Hathaway Inc. (NYSE: BRK-A) (NYSE: BRK-B) CEO Warren Buffett is one of the most successful and well-respected investors of all time, and Tesla, Inc. (NASDAQ: TSLA) is one of the most controversial investments on Wall Street these days.
So when Buff… [+1905 chars]"
1,"{'id': None, 'name': 'Investors.com'}",Investor's Business Daily,"Dow Jones Futures: Coronavirus Stock Market Rally Lacks Two Key Qualities; Analyzing Apple, Amazon, Microsoft, Nvidia - Investor's Business Daily","Dow Jones Futures: Coronavirus Stock Market Rally Lacks Two Key Qualities; Analyzing Apple, Amazon, Microsoft, Nvidia Investor's Business Daily S&P 500 joins Dow in exiting bear market as Sanders suspends presidential campaign Fox Business Wall Street's rally…",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-coronavirus-stock-market-rally-apple-amazon-microsoft-nvidia-analyzed/,https://www.investors.com/wp-content/uploads/2019/01/Stock-GrowthGreen-01-adobe.jpg,2020-04-08T23:03:29Z,"Dow Jones futures fell slightly late Wednesday, along with S&amp;P 500 futures and Nasdaq futures, as investors await a key OPEC meeting over emergency production cuts. The coronavirus stock market rally rebounded Wednesday amid improving Covid-19 forecasts. … [+9958 chars]"
2,"{'id': 'the-next-web', 'name': 'The Next Web'}",David Canellis,Microsoft stock pumps after it sees two years of digital transformation in two months,"Microsoft just dropped its earnings for the first quarter of 2020 and — as one might expect — worldwide coronavirus lockdowns were great for its bottom line. The Redmond tech giant posted $35 billion revenue and $10.8 billion net income in Q1, up 15% and 22% …",https://thenextweb.com/hardfork/2020/04/30/microsoft-stock-pumps-after-it-sees-two-years-of-digital-transformation-in-two-months/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2018%2F12%2FMicrosoft2.jpg&signature=53f0d08db173357da1e3d872dedc799d,2020-04-30T11:26:39Z,"Microsoft just dropped its earnings for the first quarter of 2020 and  as one might expect  worldwide coronavirus lockdowns were great for its bottom line.
The Redmond tech giant posted $35 billion revenue and $10.8 billion net income in Q1, up 15% and 22% r… [+1290 chars]"
3,"{'id': None, 'name': 'Investors.com'}",Investor's Business Daily,Dow Jones Erases 171-Point Gain Amid Plunging Payrolls; E-Commerce Stock Soars 20% On Earnings - Investor's Business Daily,"<ol><li>Dow Jones Erases 171-Point Gain Amid Plunging Payrolls; E-Commerce Stock Soars 20% On Earnings  Investor's Business Daily
</li><li>US STOCKS-S&P 500, Nasdaq up as tech stocks rise; lockdown easing hopes persist  Yahoo Finance
</li><li>Dow Jones Futu…",https://www.investors.com/market-trend/stock-market-today/dow-jones-payrolls-stock-market-rally-disney-earnings-coronavirus-apple-microsoft/,https://www.investors.com/wp-content/uploads/2019/06/stock-MercadoLibre-03-shutter.jpg,2020-05-06T16:20:45Z,"The Dow Jones Industrial Average erased a 171-point gain midday Wednesday amid plunging payroll numbers, as the coronavirus stock market rally continues. Dow Jones stocks Apple and Microsoft are above new buy points, while Disney advanced 1% on earnings.
XDo… [+6265 chars]"
4,"{'id': 'business-insider', 'name': 'Business Insider'}",Ashley Stewart and Benjamin Pimentel,"$416 million data analytics provider Domo is the most likely company to be acquired by a big player like Microsoft or Oracle in the wake of the coronavirus crisis, experts predict (DOMO, MSFT, ORCL)","<ul>
<li>Big technology companies are expected to be looking to make acquisitions as the coronavirus crisis drives down valuations. </li>
<li>Domo, a Utah-based data-analytics company, is perhaps the most likely acquisition target in the current environment, …",https://www.businessinsider.com/domo-likely-acquisition-target-microsoft-oracle-2020-4,https://i.insider.com/5e99f11a15ea4b5c3343b026?width=1200&format=jpeg,2020-04-20T16:44:02Z,"Over the last few weeks, Business Insider has been talking to experts to see which companies they thought would get bought up as the coronavirus crisis drives down valuations — and thus, potential purchase prices. In our conversations, one name kept coming up… [+4729 chars]"
5,"{'id': None, 'name': 'Marketwatch.com'}",Nigam Arora,Why it’s not so crazy that stocks are rising even though 26 million people are out of work,The are many reasons for the stock market’s buoyancy — from incentives in the industry to retirement-account purchases to behavioral biases.,https://www.marketwatch.com/story/why-its-not-so-crazy-that-stocks-are-rising-even-though-26-million-people-are-out-of-work-2020-04-23,https://s.marketwatch.com/public/resources/images/MW-HZ257_jobles_ZG_20200129121950.jpg,2020-04-23T14:13:51Z,"Unemployment continues to rise in the U.S. amid a government-mandated shutdown of the economy. Many investors believe the stock market has gone bonkers, saying it has become totally divorced from the reality on Main Street. I agree that the stock market isnt … [+3463 chars]"
6,"{'id': None, 'name': 'Marketwatch.com'}",Nigam Arora,Stock market investors should pay attention to baffling coronavirus data from Boston,"A large number of homeless people tested positive yet were asymptomatic, which may have favorable implications.",https://www.marketwatch.com/story/stock-market-investors-should-pay-attention-to-baffling-coronavirus-data-from-boston-2020-04-20,https://s.marketwatch.com/public/resources/images/MW-IB808_corona_ZH_20200309105141.jpg,2020-04-20T16:04:29Z,"Investors may not have noticed Boston coronavirus data that goes against the prevailing wisdom. In Bostons Pine Street Inn, a homeless shelter, 397 people were tested for coronavirus and 146 tested positive but showed no symptoms. The Centers for Disease Cont… [+3674 chars]"
7,"{'id': None, 'name': 'Marketwatch.com'}",William Watts,Market Snapshot: Stock-index futures rise with coronavirus lockdowns set to ease,"U.S. stock-index futures trade higher Monday, buoyed as coronavirus lockdowns begin to ease in several countries.",https://www.marketwatch.com/story/stock-index-futures-rise-with-coronavirus-lockdowns-set-to-ease-2020-04-27,https://s.marketwatch.com/public/resources/images/MW-IF269_theate_ZG_20200427072002.jpg,2020-04-27T11:26:09Z,"U.S. stock-index futures pointed higher Monday, buoyed as coronavirus lockdowns began to ease in several countries, while investors also braced for a deluge of first-quarter earnings reports and tracked continued weakness in crude oil.Futures on the Dow Jones… [+4014 chars]"
8,"{'id': None, 'name': 'Marketwatch.com'}",Tomi Kilgore,"Amazon CEO Jeff Bezos has made the same salary for decades, a little more than double the median U.S. employee’s pay","Jeff Bezos is the richest person in the world and runs the third largest company by market capitalization in America, so there’s a good chance he doesn’t much care that his “low” base salary, that is just a little more than double that of Amazon.com Inc.’s me…",https://www.marketwatch.com/story/amazon-ceo-jeff-bezos-has-made-the-same-salary-for-decades-a-little-more-than-double-the-median-us-employees-pay-2020-04-16,https://s.marketwatch.com/public/resources/images/MW-IE607_JeffBe_ZG_20200416150013.jpg,2020-04-16T20:03:50Z,"Jeff Bezos is the richest person in the world and runs the third-largest company by market capitalization in America, so theres a good chance he doesnt much care that his low base salary, which is just a little more than double that of Amazon.com Inc.s median… [+3340 chars]"
9,"{'id': None, 'name': 'Marketwatch.com'}",Nigam Arora,S&P 500 charts are telling stock investors to downshift into a slower gear,"Don’t be bullish or bearish, and wait for ‘buy’ signals.",https://www.marketwatch.com/story/sp-500-charts-are-telling-stock-investors-to-downshift-into-a-slower-gear-2020-04-28,https://s.marketwatch.com/public/resources/images/MW-HD278_apnasc_ZG_20190204135611.jpg,2020-04-28T15:42:07Z,Stock market investors have reached nirvana.Governments have socialized losses but kept gains private. American society is being set up for endless profits in the stock market. That suits the rich and the 401(k) middle class. There is an implicit put (a prote… [+3901 chars]
